List of GSM companies w.e.f 06.06.2019,,,,
Sr. No.,Scrip code,Security Name,ISIN,GSM Stage
239,532744,GTN Textiles Ltd,INE302H01017,I
240,506457,Gujarat Carbon & Industries Ltd,INE462C01010,VI
241,531410,Gujarat Foils Ltd,INE587F01017,I
242,500174,Gujarat Lease Financing Ltd,INE540A01017,II
243,524754,Gujarat Meditech Ltd,INE010M01016,0
244,513337,Gujarat Toolroom Ltd,INE145J01024,0
245,506640,Gujchem Distillers India Ltd,INE218N01013,0
246,530055,Harmony Capital Service Ltd,INE264N01017,0
247,532467,Hazoor Multi Projects Ltd,INE550F01023,II
248,539224,HCKK Ventures Ltd,INE345Q01017,0
249,533525,HealthFore Technologies Ltd,INE402L01017,0
250,526967,Heera Ispat Ltd,INE025D01013,V
251,531178,Hemang Resources Ltd,INE930A01010,0
252,524590,Hemo Organic Ltd,INE422G01015,II
253,531301,High Street Filatex Ltd,INE319M01011,I
254,532847,Hilton Metal Forging Ltd,INE788H01017,I
255,513723,Himalaya Granites Ltd,INE464C01016,I
256,511169,Himalchuli Food Products Ltd,INE552N01015,0
257,532041,Hindustan Bio Sciences Ltd,INE597C01013,III
258,500500,Hindustan Motors Ltd,INE253A01025,I
259,530853,Hipolin Ltd,INE963A01011,I
260,532359,Hit Kit Global Solutions Ltd,INE309B01023,0
261,526683,Hotel Rugby Ltd,INE275F01019,I
262,531724,HRB Floriculture Ltd,INE284D01016,0
263,539724,Hypersoft Technologies Ltd,INE039D01014,0
264,519463,IB Infotech Enterprises Ltd,INE678B01021,I
265,531524,ICSA (India) Ltd,INE306B01029,II
266,511682,IFL Promoters Ltd,INE326D01031,VI
267,539449,IGC Industries Ltd,INE099S01016,III
268,531968,IITL Projects Ltd,INE786E01018,I
269,532414,IKF Technologies Ltd,INE052C01027,VI
270,505539,IMC Finance Ltd,INE170F01012,0
271,532614,Impex Ferro Tech Ltd,INE691G01015,I
272,538541,Inceptum Enterprises Ltd,INE784P01035,II
273,531594,Incon Engineers Ltd,INE507D01010,I
274,531505,Indergiri Finance Ltd,INE628F01019,0
275,500202,India Lease Development Ltd,INE333C01013,VI
276,504731,Indian Bright Steel Company Ltd,INE566M01017,0
277,530747,Indo Asia Finance Ltd,INE807A01010,I
278,538838,Indo Cotspin Ltd,INE407P01017,I
279,526887,Indo Credit Capital Ltd,INE147D01015,0
280,539433,Indo-Global Enterprises Ltd,INE400S01016,0
281,539175,Indra Industries Ltd,INE924N01016,0
282,526445,Indrayani Biotech Ltd,INE007C01021,II
283,503639,Indsoya Ltd,INE314N01010,0
284,531841,Indus Finance Ltd,INE935D01013,I
285,512025,Inertia Steel Ltd,INE767M01011,0
286,509069,Infomedia Press Ltd,INE669A01022,V
287,530777,Infra Industries Ltd,INE287D01019,0
288,531793,Infraquest International Ltd,INE786B01022,VI
289,537985,Infronics Systems Ltd,INE463B01036,0
290,531963,Universal Credit & Securities Ltd,INE607F01039,I
291,531929,Innocorp Ltd,INE214B01017,I
292,517433,Innovation Software Exports Ltd,INE568B01016,0
293,512375,Innoventive Venture Ltd,INE322N01013,VI
294,531314,Integra Capital Management Ltd,INE366H01012,II
295,535958,Integra Garments And Textiles Ltd,INE418N01027,I
296,517423,Integra Switchgear Ltd,NA,0
297,536868,Integra Telecommunication & Software Ltd,INE256F01019,I
298,539149,Integrated Capital Services Ltd,INE682B01023,0
299,519606,Integrated Proteins Ltd,INE177M01013,I
300,531889,Integrated Technologies Ltd,INE882B01029,I
301,530921,Integrated Thermoplastics Ltd,INE038N01015,I
302,534732,Intellivate Capital Advisors Ltd,INE176N01021,I
303,506134,Intellivate Capital Ventures Ltd,INE512D01028,0
304,530519,Interface Financial Services Ltd,INE778C01027,VI
305,526512,Interlink Petroleum Ltd,INE959G01016,I
306,517044,International Data Management Ltd,INE649R01010,0
307,523844,Invicta Meditek Ltd,INE537B01011,II
308,523752,IO System Ltd,INE502D01011,0
309,512405,I-Power Solutions India Ltd,INE468F01010,VI
310,540134,Ishaan Infrastructures and Shelters Ltd,INE818R01011,0
311,506161,Ishwarshakti Holdings & Traders Ltd,INE073I01012,0
312,531592,Generic Pharmasec Ltd,INE861N01036,II
313,524622,iStreet Network Ltd,INE532B01020,I
314,520139,Jagson Airlines Ltd,INE685B01018,I
315,531339,Jaihind Projects Ltd,INE343D01010,I
316,514312,Jaihind Synthetics Ltd,INE156E01014,I
317,539119,Jain Marmo Industries Ltd,INE780Q01015,0
318,526523,Jay Energy & S Energies Ltd,INE315L01029,VI
319,500222,JCT Electronics Ltd,INE264B01020,VI
320,524592,JD Orgochem Ltd,INE263B01022,I
321,511618,JIK Industries Ltd,INE026B01049,II
322,530405,Jindal Capital Ltd,INE356F01017,I
323,530049,JJ Exporters Ltd,INE408B01015,I
324,506016,JRI Industries & Infrastructure Ltd,INE022M01029,I
325,504080,JSL Industries Ltd,INE581L01018,I
326,507987,Jupiter Industries & Leasing Ltd,INE990E01016,0
327,531035,Justride Enterprises Ltd,INE432F01024,0
328,504076,Jyoti Ltd,INE511D01012,I
329,523876,Jyoti Overseas Ltd,INE432D01011,I
330,513250,Jyoti Structures Ltd,INE197A01024,V
331,539246,Jyotirgamya Enterprises Ltd,INE805R01018,III
332,503669,K K Fincorp Ltd,INE509J01013,III
333,524322,Kabra Drugs Ltd,INE323K01017,I
334,531780,Kaiser Corporation Ltd,INE229G01022,0
335,521054,Kakatiya Textiles Ltd,INE092E01011,I
336,524604,Kamron Laboratories Ltd,INE276T01018,0
337,500236,Kanel Industries Ltd,INE252C01015,0
338,512399,Kapashi Commercial Ltd,INE017I01019,I
339,512036,Kapil Cotex Ltd,INE393H01016,0
340,539679,Kapil Raj Finance Ltd,INE332Q01015,0
341,526115,Karan Woo Sin Ltd,INE327D01013,I
342,501151,Kartik Investments Trust Ltd,INE524U01019,V
343,502933,Katare Spinning Mills Ltd,INE498G01015,I
344,538295,Kausambi Vanijya Ltd,INE223P01026,VI
345,535136,Kavita Fabrics Ltd,INE149O01018,I
346,526067,KCCL Plastic Ltd,INE100L01025,I
347,533790,KGN Enterprises Ltd,INE755B01019,I
348,504269,Khaitan Electricals Ltd,INE761A01019,I
349,506178,Khatau Exim Ltd,INE092P01017,0
350,531692,Khyati Multimedia Entertainment Ltd,INE593B01030,I
351,507946,Kiduja India Ltd,INE845A01010,III
352,523218,Kilburn Office Automation Ltd,INE793E01014,I
353,531274,Kinetic Trust Ltd,INE674M01019,I
354,512329,Kintech Renewables Ltd,INE385F01016,0
355,531413,Kiran Print Pack Ltd,INE516D01011,0
356,530443,Kiran Syntex Ltd,INE293D01017,IV
357,514221,K-Lifestyle & Industries Ltd,INE218A01028,I
358,517170,KLK Electrical Ltd,INE125G01014,II
359,519415,KMG Milk Food Ltd,INE873N01015,I
360,517471,Koa Tools India Ltd,INE316B01036,VI
361,531602,Koffee Break Pictures Ltd,INE208D01023,VI
362,531366,Kohinoor Broadcasting Corporation Ltd,INE414E01017,VI
363,500458,Kore Foods Ltd,INE601A01017,IV
364,530139,Kreon Finnancial Services Ltd,INE302C01018,I
365,503626,Kshitij Investments Ltd,NA,0
366,523594,Kunststoffe Industries Ltd,INE638D01021,I
367,514240,Kush Industries Ltd,INE979D01011,II
368,535387,Lakhotia Polyesters (India) Ltd,INE191O01010,0
369,531164,Laser Diamonds Ltd,INE995E01015,0
370,539125,Layla Textile and Traders Ltd,INE914Q01010,I
371,508306,Ledo Tea Company Ltd,INE643B01017,I
372,517415,Lee & Nee Softwares Exports Ltd,INE791B01014,I
373,509046,Leena Consultancy Ltd,INE778N01016,0
374,526125,Arihant Tournesol Ltd,INE00HZ01011,0
375,533007,LGB Forge Ltd,INE201J01017,II
376,517463,Linaks Microelectronics Ltd,INE028C01027,I
377,530745,LN Industries India Ltd,INE366C01013,VI
378,523475,Lotus Chocolate Company Ltd,INE026D01011,0
379,505320,Lynx Machinery & Commercials Ltd,INE732D01014,0
380,512600,Macro International Exports Ltd,INE307N01014,I
381,519279,Madhur Industries Ltd,INE110C01015,II
382,513460,Mahalaxmi Seamless Ltd,INE257F01017,I
383,526795,Mahasagar Travels Ltd,INE007G01014,0
384,539383,Mahaveer Infoway Ltd,INE019D01016,0
385,531648,Mahavir Industries Ltd,INE987M01023,I
386,530243,Mangalya Soft Tech Ltd,INE820B01011,I
387,530537,Manraj Housing Finance Ltd,INE948I01015,0
388,538970,Manvijay Development Company Ltd,INE945P01016,I
389,500206,Margo Finance Ltd,INE680B01019,0
390,517467,Marsons Ltd,INE415B01036,0
391,531319,Maruti Securities Ltd,INE368C01019,0
392,506867,Master Chemicals Ltd,INE523D01017,0
393,532470,Mather and Platt Fire Systems Ltd,INE095E01022,V
394,500248,Mavi Industries Ltd,INE073A01019,0
395,539519,Mayukh Dealtrade Ltd,INE280E01012,I
